中国移动营销行来发展报告alink	王大姐，打字细心一点
小马也疯狂------地位之争。	于老师不给劝劝架么告诉他们再挣也不是老大
那些年，我们一起偷看过的电视。「暴走漫画」	真不愧是这么走出来的爹·······
北京的小纯洁们，周日见。#硬汉摆拍清纯照#	嗷嗷大湿的左手在干嘛，看着小纯洁撸么。
要是这一年哭泣的理由不再是难过而是感动会多么好	我已经快感动得哭了。
对于国内动漫画作者引用工笔素材的一些个人意见。	(ﾉ´∀｀*)ﾉ大师说的好！各种长知识了
猫咪保镖最赞了！你们看懂了吗？！（来自：9gag）	喵喵保镖抢镜了哟。
莫愁和所有人开了一个玩笑——其实，她是会正常唱歌的……	说是会咳嗽就会唱歌。她的问题是一咳嗽猫都跑。
你见过皮卡丘喝水的样子吗？	小日本的东西再好都烦
如果有个人能让你忘掉过去，那TA很可能就是你的未来。	····关键是那人是否忘记他的过去。
我在北京，24岁，想去马尔代夫，一个人。	我在太原，24岁，想去捷克，两个人。
哥你还跳不跳楼了？我们要下班啊！	我想说很多这样的人其实不是想跳楼的。
龙生龙，凤生凤，是个喵咪它就萌。	微信都加了，说好的8.20呢！
从胚胎期开始的面部特征演变过程	自然生理变化中的面部演化过程
本届轮值主席王石致开幕词。讲60岁上哈佛。	任总，再有这机会带我去呗
非常不喜欢北京现在的天气……非常……	我也不喜欢那种又冷又下雨的天气了！
我第一次坐飞机是进安达信的入职培训，在深圳。你们哪？	去帝都游乐园玩。那时候20块进去随便玩
人生如戏，全靠演技。小受吓坏了。	人生如戏，全靠演技。
为什么这世上会有人以刁难他人为乐呢？	因为他们没钱买可乐
算了算了，我看出来了，你们都想看男人！上张美男图。	多放点男模的照片看看
偷拍时被喵星人发现了。！\3/	二饼你好！JOKER你好！
看看你的名字在古代是什么职业，太让人崩溃了。	蜀汉黑心侠客。我喜欢。
居然把WindowsPhone8写成Win8了……要严谨啊	老魏今晚视频不见不散呐
百合真香啊！送给回家路上的人们明天后天就不行了！	浇点啤酒养着，就能开久一些，试试看
刘翔预算摔倒！无缘半决赛！主持人哭了。	惨，意料之中，可惜，努力了就好。
谁身边没几个能办大事的朋友？	1个亿把天安门照片换成我爹，然后发现自己名字被改成毛岸英
